iteration 01-ubuntu
1 0.990930
2 0.991480
3 0.991940
4 0.992440
5 0.992870
6 0.992900
7 0.992970
8 0.992980
9 0.993160
10 0.993160
11 0.993460
12 0.993490
13 0.993530
14 0.993890
15 0.993890
16 0.993890
17 0.993890
18 0.993910
19 0.993910
20 0.993910
21 0.994040
22 0.994120
23 0.994120
24 0.994430
25 0.994460
26 0.994460
27 0.994460
28 0.994530
29 0.994540
30 0.994560
31 0.994630
32 0.994760
33 0.994760
34 0.994760
35 0.994760
36 0.995620
37 0.995640
38 0.995640
39 0.995640
40 0.995640
41 0.995660
42 0.995660
43 0.995660
44 0.995660
45 0.995660
46 0.995660
47 0.995660
48 0.995660
49 0.995730
50 0.995730
51 0.995730
52 0.995740
53 0.995740
54 0.995740
55 0.995740
56 0.995740
57 0.996160
58 0.996160
59 0.996160
60 0.996160
61 0.996160
62 0.996160
63 0.996160
64 0.996180
65 0.996180
66 0.996180
67 0.996180
68 0.996180
69 0.996180
70 0.996180
71 0.996180
72 0.996180
73 0.996180
74 0.996180
75 0.996180
76 0.996330
77 0.996330
78 0.996360
79 0.996360
80 0.996360
81 0.996360
82 0.996360
83 0.996360
84 0.996360
85 1.000000
86 1.000000
87 1.000000
88 1.000000
89 1.000000
90 1.000000
91 1.000000
92 1.000000
93 1.000000
94 1.000000
95 1.000000
96 1.000000
97 1.000000
98 1.000000
99 1.000000
100 1.000000
